organization_name,lane,org_type,address,city,distance_miles,contact_name,role_target,email,phone,source,verification_status
Intermediate School 237,School,school,,,1.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Fidelity Physical Therapy Rehabilitation Center,Support Organization,rehabilitation,103-19 Corona Avenue,,1.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 16 - Nancy Debenittis School,School,school,,,1.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Muslim Center Junior High School,School,school,137-58 Geranium Avenue,Flushing,1.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Plaza del Sol Family Health Center,Medical,hospital,3702 108th Street,Flushing,1.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New Franklin Center for Rehabilitation & Nursing,Support Organization,social_facility,142-27 Franklin Avenue,Flushing,1.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 20,School,school,,,1.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
High School Of Arts & Business,School,school,,,1.07,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Corona Gynecological Medical Service,Medical,doctors,,,1.08,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Helen M. Marshall School,School,school,,,1.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Helen R Scheuer House,Support Organization,social_facility,,,1.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Selfhelp Benjamin Rosenthal Senior Center,Support Organization,social_facility,45-25 Kissena Boulevard,,1.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Cirrus Health,Medical,doctors,105-55 62nd Drive,,1.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Harry and Jeanette Weinberg Apts,Support Organization,social_facility,45-35 Kissena Boulevard,,1.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 220 Edward Mandel,School,school,,,1.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Forest Hills Medical Services,Medical,clinic,108-16 63rd Road,Forest Hills,1.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
VIVA EVE: Fibroid Treatment Specialists,Medical,clinic,108-18 63rd Road,Forest Hills,1.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mando Mandarin,School,school,143-24 41st Avenue,,1.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Metropolitan Vein and Aesthetic Center,Medical,clinic,37-73 103rd Street,Corona,1.18,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
John Bowne High School,School,school,,,1.21,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Forest Hills Podiatry,Medical,doctors,63-57 108th Street,Forest Hills,1.22,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Orthopedics Mohammed Ahmed, M.D.",Medical,doctors,98-57A Corona Avenue,,1.23,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Centers Urgent Care,Medical,clinic,64-2 108th Street,,1.27,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School 61 - Leonardo da Vinci,School,school,98-50 50th Avenue,,1.28,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 23,School,school,,,1.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS/IS 499,School,school,,,1.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Adult and Pediatric Dermatology,Medical,doctors,64-05 Yellowstone Boulevard,Forest Hills,1.31,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Flushing Hospital Medical Center,Medical,hospital,45-00 Parsons Boulevard,Flushing,1.31,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS/MS 219 Paul Klapper,School,school,144-39 Gravett Road,,1.31,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Cypress Garden Care Center,Support Organization,social_facility,139-66 35th Avenue,Flushing,1.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 19,School,school,,,1.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Natalya Raytses MD DO,Medical,doctors,65-14 108th Street,,1.36,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
J.H.S. 157 Stephen A. Halsey,School,school,,,1.36,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Pavilion At Queens,Support Organization,social_facility,36-17 Parsons Boulevard,,1.37,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Junior High School 189,School,school,144-80 Barclay Avenue,,1.37,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Passport Health Rego Park Travel Clinic,Medical,clinic,63-16 102nd Street,Rego Park,1.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Forest Hills High School,School,school,,,1.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Sapphire Center for Rehabilitation & Nursing of Central Queens,Support Organization,social_facility,35-15 Parsons Boulevard,,1.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
School of Transfiguration,School,school,98-07 38th Avenue,Queens,1.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rego Park Medical Center,Medical,clinic,,,1.43,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 175 the Lynn Gross Discovery School,School,school,,,1.44,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Marys School,School,school,,,1.45,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 92 - Harry T. Stewart Senior,School,school,99-01 34th Avenue,,1.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 206Q - Horace Harding School,School,school,,,1.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Happy Dragon Preschool,School,school,,,1.53,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Interdisciplinary Center For Child Development,School,kindergarten,98-02 62nd Drive,,1.53,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Long Island Jewish Forest Hills,Medical,hospital,102-01 66th Avenue,Forest Hills,1.54,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Dermatology Specialists,Medical,doctors,,,1.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 214,School,school,,,1.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,37-26 Junction Boulevard,,1.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Zeta,School,school,,,1.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Cohen Children's Northwell Health,Medical,clinic,,,1.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Gotham Health Lefrak,Medical,clinic,59-17 Junction Boulevard,,1.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Pan American International High School,School,school,45-10 94th Street,Elmhurst,1.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ivy Day School,School,kindergarten,Kissena Boulevard,,1.64,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Civic Leadership Academy,School,school,45-10 94th Street,Elmhurst,1.64,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Quick Solve,Medical,clinic,35-08 Junction Boulevard,,1.64,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rego Park Medical Associates,Medical,clinic,59-10 Junction Boulevard,Elmhurst,1.64,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Xinqi Xu, M.D. Family Medicine",Medical,doctors,9429 59th Avenue,Elmhurst,1.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Voyages Preparatory High School,School,school,45-10 94th Street,Elmhurst,1.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Zia Ahmed,Medical,doctors,59th Avenue,,1.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
NYC Dept of Health Corona Sexual Health Clinic,Medical,clinic,34-33 Junction Boulevard,,1.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rehabilitation Medical Center,Medical,doctors,94-24 59th Avenue,,1.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Babu S. Bangaru, M.D.",Medical,doctors,94-22 59th Avenue,,1.68,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Food Distribution Center,Support Organization,social_facility,41-42 Murray Street,,1.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Aesthetic & Preventative Medicine Institute,Medical,doctors,94-06 59th Avenue,,1.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Suboxone Treatment Clinic,Medical,clinic,96-18 63rd Drive,Rego Park,1.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Doctors,Medical,clinic,99-01 Queens Boulevard,,1.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr S. Yoon,Medical,doctors,,,1.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Forest Hills Hematology Oncology,Medical,doctors,,,1.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Advanced Woman's Care,Medical,doctors,,,1.7,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
DRAD Helpline Inc,Medical,clinic,68-38 Yellowstone Boulevard,Queens,1.72,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 201,School,school,,,1.72,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Advanced Center for psychotherapy,Medical,doctors,,,1.73,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Dermatology Specialists,Medical,doctors,100-26 Queens Boulevard,,1.74,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Cohen Medical Practice,Medical,doctors,98-76 Queens Boulevard,Rego Park,1.74,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Fairview Nursing Center,Support Organization,social_facility,69-70 Grand Central Parkway Service Road West,,1.74,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 022,School,school,,,1.76,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Yeshiva of Central Queens,School,school,,,1.77,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 163,School,school,,,1.78,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Premier Vascular Vein Treatment,Medical,doctors,37-12 92nd Street,Queens,1.8,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 149 - Christa McAuliffe,School,school,93-11 34th Avenue,,1.8,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Gabriel's School,School,school,26-25 97th Street,,1.83,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 165,School,school,,,1.84,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Advanced Walk In Foot Care, PLLC",Medical,doctors,93-14 Queens Boulevard,,1.85,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Corona Family Health,Medical,clinic,90-24 Corona Avenue,,1.85,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Newtown High School,School,school,,,1.85,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
I.S. 227 - Louis Armstrong Middle School,School,school,,,1.85,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Roosevelt Cardiovascular Diagnostic,Medical,doctors,37-51A 90th Street,,1.87,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,91-19 Queens Boulevard,Elmhurst,1.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ivy Day School,School,school,70-44 Kissena Boulevard,,1.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 139,School,school,93-06 63rd Drive,,1.89,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
A B Shirwaikar MD,Medical,doctors,35th Avenue,,1.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 127,School,school,,,1.92,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Atria,Support Organization,social_facility,,,1.93,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
J.H.S. 190Q Russel Sage,School,school,,,1.93,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Montessouri School,School,school,67-04 Austin Street,,1.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 29,School,school,125-10 23rd Avenue,,1.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York Preventative Health Center,Medical,clinic,68-60 Austin Street,,1.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Forest Hills Audiology,Medical,doctors,110-11 72nd Avenue,Forest Hills,1.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Digestive Disease Care,Medical,doctors,Queens Boulevard,,1.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Asthma & Allergy,Medical,doctors,Queens Boulevard,,2.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Achieve Beyond,Medical,clinic,70-00 Austin Street,,2.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Summit Health,Medical,clinic,Austin Street,,2.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
NY Best Medical,Medical,doctors,70-10 Austin Street,Forest Hills,2.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,70-49 Austin Street,,2.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Central Queens Charter School,School,school,,,2.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Xiao Rong He MD,Medical,doctors,Justice Avenue,,2.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Elm York Assisted Living,Support Organization,social_facility,100-30 Ditmars Boulevard,East Elmhurst,2.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School Q222,School,school,86-15 37th Avenue,Jackson Heights,2.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 89 Elmhurst,School,school,85-28 Britton Avenue,,2.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 148 - The Ruby G Allen School,School,school,,,2.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Lenox Hill Radiology,Medical,doctors,,,2.08,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Tamara Moss MD,Medical,doctors,109-19 72nd Road,,2.08,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Azeem Khan,Medical,doctors,109-19 72nd Road,,2.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Junior High School 185,School,school,147-26 25th Drive,Queens,2.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Acuiderm,Medical,doctors,87-20 Queens Boulevard,Elmhurst,2.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Austin Medical Assistant Training,School,school,109-15 72nd Road,,2.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Medex Diagnostic and Treatment Center,Medical,doctors,111-29 Queens Blvd,Queens,2.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint John Lutheran School,School,school,,,2.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Forest Urgent Care,Medical,clinic,112-01 75th Avenue,Forest Hills,2.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Focus Vision Center,Medical,doctors,86-26 Queens Boulevard,Elmhurst,2.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Manhattan Medical Arts,Medical,clinic,72-14 Austin Street,,2.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hear USA,Medical,clinic,72-32 Austin Street,,2.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Stephanie Khan,Medical,doctors,110-78 Queens Boulevard,,2.15,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Yeshiva Binat Chaim - Boys,School,school,,,2.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York Presbyterian,Medical,clinic,112-07 Queens Boulevard,,2.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. W&W Laser Center,Medical,doctors,85-16 Queens Boulevard,,2.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mesorah Academy,School,school,,,2.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Forest Hills Medical Center,Medical,clinic,112-07 Queens Boulevard,,2.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rendr,Medical,doctors,82-55 Broadway,,2.18,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New Age Radiology,Medical,doctors,Queens Boulevard,,2.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Weihong Yan M.D.,Medical,doctors,83-11 Queens Boulevard,Elmhurst,2.21,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 200,School,school,,,2.25,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Huang Cardiovascular,Medical,doctors,81-18 Broadway,,2.28,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Joan of Arc School,School,school,,,2.28,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Adalberts School,School,school,80-55 Cornish Avenue,,2.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Landing Family Shelter,Support Organization,social_facility,9400 Ditmars Boulevard,East Elmhurst,2.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S.174Q William Sidney Mount,School,school,,,2.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Family Podiatry of Rego Park,Medical,doctors,,,2.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 212Q School of Cyberscience and Literacy,School,school,,,2.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Renaissance Charter School,School,school,35-59 81st Street,,2.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Stepping Stone Dayschool,School,kindergarten,,,2.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Star Pre School,School,kindergarten,80-07 Broadway,,2.33,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Queens Adult Care Center,Support Organization,social_facility,,,2.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 101Q The School in The Gardens,School,school,,,2.37,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 154,School,school,,,2.37,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
USA Vein Clinic,Medical,clinic,,,2.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Boulevard Hearing Aid Center,Medical,clinic,116-25 Queens Boulevard,,2.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Our Saviour Lutheran School,School,school,Woodhaven Boulevard,,2.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Elmhurst Hospital,Medical,hospital,79-01 Broadway,Elmhurst,2.39,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Musculoskeletal wellness clinic,Medical,clinic,116-22 Queens Boulevard,,2.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS Q255,School,school,,,2.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
College Point Collaborative,School,school,12406 14th Avenue,College Point,2.43,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School 145 Joseph Pulitzer,School,school,,,2.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Francis Lewis High School,School,school,,,2.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Poppenhusen Institute,School,school,,,2.48,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Broadway Preschool,School,kindergarten,77-14 Roosevelt Avenue,,2.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 144,School,school,,,2.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 69,School,school,,,2.5,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Agnes Academy High School,School,school,13-20 124th Street,,2.5,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Adalbert Catholic Academy,School,school,52-17 83rd Street,Elmhurst,2.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Phyllis L. Susser School For Exceptional Children,School,school,71-64 168th Street,,2.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Garden School,School,school,,,2.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Orlin&Cohen,Medical,clinic,,,2.53,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rest Medical Care,Medical,hospital,37-28 77th Street,,2.53,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
