organization_name,lane,org_type,address,city,phone,email,website,contact_name,role_target,distance_miles,source,verification_status
Castle Senior Living,Support Organization,social_facility,10825 Horace Harding Expressway,Corona,,,,,Program Intake Coordinator,0.96,OpenStreetMap (Overpass),raw_unverified
Summit Health,Medical,clinic,,,,,,,Pediatric Intake Coordinator,0.97,OpenStreetMap (Overpass),raw_unverified
Saint Leos School,School,school,104-15 49th Avenue,,,,,,School Social Worker,0.98,OpenStreetMap (Overpass),raw_unverified
East-West School of International Studies,School,school,,,,,,,School Social Worker,1.0,OpenStreetMap (Overpass),raw_unverified
Mosaic Pre-K Center,School,school,104-04 Corona Avenue,,,,,,School Social Worker,1.01,OpenStreetMap (Overpass),raw_unverified
Plaza del Sol Family Health Center,Medical,clinic,104-01 Corona Avenue,,+1 347 686 3700,,,,Pediatric Intake Coordinator,1.01,OpenStreetMap (Overpass),raw_unverified
Saint Anns School,School,school,,,,,,,School Social Worker,1.03,OpenStreetMap (Overpass),raw_unverified
Intermediate School 237,School,school,,,,,,,School Social Worker,1.03,OpenStreetMap (Overpass),raw_unverified
Fidelity Physical Therapy Rehabilitation Center,Support Organization,rehabilitation,103-19 Corona Avenue,,,,,,Program Intake Coordinator,1.03,OpenStreetMap (Overpass),raw_unverified
Public School 16 - Nancy Debenittis School,School,school,,,,,https://www.schools.nyc.gov/schoolportals/24/q016,,School Social Worker,1.03,OpenStreetMap (Overpass),raw_unverified
Muslim Center Junior High School,School,school,137-58 Geranium Avenue,Flushing,+1-718-460-2127,mces786@gmail.com,https://www.muslimcenterschool.org/,,School Social Worker,1.05,OpenStreetMap (Overpass),raw_unverified
Plaza del Sol Family Health Center,Medical,hospital,3702 108th Street,Flushing,,,,,Pediatric Intake Coordinator,1.06,OpenStreetMap (Overpass),raw_unverified
New Franklin Center for Rehabilitation & Nursing,Support Organization,social_facility,142-27 Franklin Avenue,Flushing,,,http://www.franklinnh.net/,,Program Intake Coordinator,1.06,OpenStreetMap (Overpass),raw_unverified
Public School 20,School,school,,,,,,,School Social Worker,1.06,OpenStreetMap (Overpass),raw_unverified
High School Of Arts & Business,School,school,,,,,https://www.highschoolforartsandbusiness.org/,,School Social Worker,1.07,OpenStreetMap (Overpass),raw_unverified
Corona Gynecological Medical Service,Medical,doctors,,,+1 718 779 2666,,,,Pediatric Intake Coordinator,1.08,OpenStreetMap (Overpass),raw_unverified
Helen M. Marshall School,School,school,,,,,https://hmmarshall.org/,,School Social Worker,1.09,OpenStreetMap (Overpass),raw_unverified
Helen R Scheuer House,Support Organization,social_facility,,,,,,,Program Intake Coordinator,1.1,OpenStreetMap (Overpass),raw_unverified
Selfhelp Benjamin Rosenthal Senior Center,Support Organization,social_facility,45-25 Kissena Boulevard,,,,,,Program Intake Coordinator,1.11,OpenStreetMap (Overpass),raw_unverified
Cirrus Health,Medical,doctors,105-55 62nd Drive,,+1 718 592 2020,,,,Pediatric Intake Coordinator,1.12,OpenStreetMap (Overpass),raw_unverified
Harry and Jeanette Weinberg Apts,Support Organization,social_facility,45-35 Kissena Boulevard,,,,,,Program Intake Coordinator,1.12,OpenStreetMap (Overpass),raw_unverified
Public School 220 Edward Mandel,School,school,,,,,,,School Social Worker,1.12,OpenStreetMap (Overpass),raw_unverified
Forest Hills Medical Services,Medical,clinic,108-16 63rd Road,Forest Hills,+1-718-897-5331,info@obgynqueensnyc.com,https://www.obgynqueensnyc.com,,Pediatric Intake Coordinator,1.16,OpenStreetMap (Overpass),raw_unverified
VIVA EVE: Fibroid Treatment Specialists,Medical,clinic,108-18 63rd Road,Forest Hills,+1-718-269-4990,patientcare@vivaeve.com,https://vivaeve.com,,Pediatric Intake Coordinator,1.16,OpenStreetMap (Overpass),raw_unverified
Mando Mandarin,School,school,143-24 41st Avenue,,,,,,School Social Worker,1.17,OpenStreetMap (Overpass),raw_unverified
Metropolitan Vein and Aesthetic Center,Medical,clinic,37-73 103rd Street,Corona,+1-718-424-8162,info@nymetrovein.com,https://www.nymetrovein.com/,,Pediatric Intake Coordinator,1.18,OpenStreetMap (Overpass),raw_unverified
John Bowne High School,School,school,,,,,,,School Social Worker,1.21,OpenStreetMap (Overpass),raw_unverified
Forest Hills Podiatry,Medical,doctors,63-57 108th Street,Forest Hills,+1 718 896-6369,,,,Pediatric Intake Coordinator,1.22,OpenStreetMap (Overpass),raw_unverified
"Orthopedics Mohammed Ahmed, M.D.",Medical,doctors,98-57A Corona Avenue,,+1 718-502-6161; +1 718-619-8948,,,,Pediatric Intake Coordinator,1.23,OpenStreetMap (Overpass),raw_unverified
Centers Urgent Care,Medical,clinic,64-2 108th Street,,,,,,Pediatric Intake Coordinator,1.27,OpenStreetMap (Overpass),raw_unverified
Intermediate School 61 - Leonardo da Vinci,School,school,98-50 50th Avenue,,,,https://www.schools.nyc.gov/SchoolPortals/24/Q061,,School Social Worker,1.28,OpenStreetMap (Overpass),raw_unverified
Public School 23,School,school,,,,,,,School Social Worker,1.3,OpenStreetMap (Overpass),raw_unverified
PS/IS 499,School,school,,,,,,,School Social Worker,1.3,OpenStreetMap (Overpass),raw_unverified
Adult and Pediatric Dermatology,Medical,doctors,64-05 Yellowstone Boulevard,Forest Hills,+1-718-896-3376,,https://adultandpediatricdermatology.com/,,Pediatric Intake Coordinator,1.31,OpenStreetMap (Overpass),raw_unverified
Flushing Hospital Medical Center,Medical,hospital,45-00 Parsons Boulevard,Flushing,+1 718 670 5000,,https://www.flushinghospital.org/,,Pediatric Intake Coordinator,1.31,OpenStreetMap (Overpass),raw_unverified
PS/MS 219 Paul Klapper,School,school,144-39 Gravett Road,,,,,,School Social Worker,1.31,OpenStreetMap (Overpass),raw_unverified
Cypress Garden Care Center,Support Organization,social_facility,139-66 35th Avenue,Flushing,,,,,Program Intake Coordinator,1.35,OpenStreetMap (Overpass),raw_unverified
Public School 19,School,school,,,,,,,School Social Worker,1.35,OpenStreetMap (Overpass),raw_unverified
Natalya Raytses MD DO,Medical,doctors,65-14 108th Street,,+1 718 275 2912,,,,Pediatric Intake Coordinator,1.36,OpenStreetMap (Overpass),raw_unverified
J.H.S. 157 Stephen A. Halsey,School,school,,,,,https://halsey157.org/,,School Social Worker,1.36,OpenStreetMap (Overpass),raw_unverified
The Pavilion At Queens,Support Organization,social_facility,36-17 Parsons Boulevard,,,,,,Program Intake Coordinator,1.37,OpenStreetMap (Overpass),raw_unverified
Junior High School 189,School,school,144-80 Barclay Avenue,,,,,,School Social Worker,1.37,OpenStreetMap (Overpass),raw_unverified
Passport Health Rego Park Travel Clinic,Medical,clinic,63-16 102nd Street,Rego Park,,,,,Pediatric Intake Coordinator,1.38,OpenStreetMap (Overpass),raw_unverified
Forest Hills High School,School,school,,,,,,,School Social Worker,1.38,OpenStreetMap (Overpass),raw_unverified
Sapphire Center for Rehabilitation & Nursing of Central Queens,Support Organization,social_facility,35-15 Parsons Boulevard,,+1-718-961-3500,,,,Program Intake Coordinator,1.41,OpenStreetMap (Overpass),raw_unverified
School of Transfiguration,School,school,98-07 38th Avenue,Queens,,,,,School Social Worker,1.41,OpenStreetMap (Overpass),raw_unverified
Rego Park Medical Center,Medical,clinic,,,,,,,Pediatric Intake Coordinator,1.43,OpenStreetMap (Overpass),raw_unverified
P.S. 175 the Lynn Gross Discovery School,School,school,,,,,https://home.ps175q.org/,,School Social Worker,1.44,OpenStreetMap (Overpass),raw_unverified
Saint Marys School,School,school,,,,,,,School Social Worker,1.45,OpenStreetMap (Overpass),raw_unverified
Public School 92 - Harry T. Stewart Senior,School,school,99-01 34th Avenue,,,,,,School Social Worker,1.52,OpenStreetMap (Overpass),raw_unverified
P.S. 206Q - Horace Harding School,School,school,,,,,https://www.ps206q.com/,,School Social Worker,1.52,OpenStreetMap (Overpass),raw_unverified
Happy Dragon Preschool,School,school,,,,,,,School Social Worker,1.53,OpenStreetMap (Overpass),raw_unverified
Interdisciplinary Center For Child Development,School,kindergarten,98-02 62nd Drive,,,,,,School Social Worker,1.53,OpenStreetMap (Overpass),raw_unverified
Long Island Jewish Forest Hills,Medical,hospital,102-01 66th Avenue,Forest Hills,+1 718 830 4000,,https://www.northwell.edu/find-care/locations/long-island-jewish-forest-hills,,Pediatric Intake Coordinator,1.54,OpenStreetMap (Overpass),raw_unverified
The Dermatology Specialists,Medical,doctors,,,,,,,Pediatric Intake Coordinator,1.55,OpenStreetMap (Overpass),raw_unverified
Public School 214,School,school,,,,,,,School Social Worker,1.55,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,37-26 Junction Boulevard,,,,,,Pediatric Intake Coordinator,1.56,OpenStreetMap (Overpass),raw_unverified
Zeta,School,school,,,,,,,School Social Worker,1.59,OpenStreetMap (Overpass),raw_unverified
Cohen Children's Northwell Health,Medical,clinic,,,,,,,Pediatric Intake Coordinator,1.61,OpenStreetMap (Overpass),raw_unverified
Gotham Health Lefrak,Medical,clinic,59-17 Junction Boulevard,,,,,,Pediatric Intake Coordinator,1.63,OpenStreetMap (Overpass),raw_unverified
Pan American International High School,School,school,45-10 94th Street,Elmhurst,+1-718-271-3602,,https://panamericanihs.org/;https://www.schools.nyc.gov/schools/Q296,,School Social Worker,1.63,OpenStreetMap (Overpass),raw_unverified
Ivy Day School,School,kindergarten,Kissena Boulevard,,,,,,School Social Worker,1.64,OpenStreetMap (Overpass),raw_unverified
Civic Leadership Academy,School,school,45-10 94th Street,Elmhurst,+1-718-271-1487,,https://www.clanyc.com/;https://www.schools.nyc.gov/schools/Q293,,School Social Worker,1.64,OpenStreetMap (Overpass),raw_unverified
Quick Solve,Medical,clinic,35-08 Junction Boulevard,,,,,,Pediatric Intake Coordinator,1.64,OpenStreetMap (Overpass),raw_unverified
Rego Park Medical Associates,Medical,clinic,59-10 Junction Boulevard,Elmhurst,+1 718 592 3200,,,,Pediatric Intake Coordinator,1.64,OpenStreetMap (Overpass),raw_unverified
"Xinqi Xu, M.D. Family Medicine",Medical,doctors,9429 59th Avenue,Elmhurst,+1 718 271-2000,,,,Pediatric Intake Coordinator,1.65,OpenStreetMap (Overpass),raw_unverified
Voyages Preparatory High School,School,school,45-10 94th Street,Elmhurst,+1-718-271-7851,,https://www.voyagesprep.org/;https://www.schools.nyc.gov/schools/Q744,,School Social Worker,1.65,OpenStreetMap (Overpass),raw_unverified
Zia Ahmed,Medical,doctors,59th Avenue,,+1 718 590 1600,,,,Pediatric Intake Coordinator,1.66,OpenStreetMap (Overpass),raw_unverified
NYC Dept of Health Corona Sexual Health Clinic,Medical,clinic,34-33 Junction Boulevard,,,,https://www.nyc.gov/site/doh/services/sexual-health-clinics.page,,Pediatric Intake Coordinator,1.66,OpenStreetMap (Overpass),raw_unverified
Rehabilitation Medical Center,Medical,doctors,94-24 59th Avenue,,+1-718-271-6554,,,,Pediatric Intake Coordinator,1.67,OpenStreetMap (Overpass),raw_unverified
"Babu S. Bangaru, M.D.",Medical,doctors,94-22 59th Avenue,,,,,,Pediatric Intake Coordinator,1.68,OpenStreetMap (Overpass),raw_unverified
Food Distribution Center,Support Organization,social_facility,41-42 Murray Street,,,,,,Program Intake Coordinator,1.7,OpenStreetMap (Overpass),raw_unverified
Aesthetic & Preventative Medicine Institute,Medical,doctors,94-06 59th Avenue,,+1-718-699-9737,,,,Pediatric Intake Coordinator,1.7,OpenStreetMap (Overpass),raw_unverified
Suboxone Treatment Clinic,Medical,clinic,96-18 63rd Drive,Rego Park,+1-212-224-9545,info@suboxonetreatmentclinicnyc.com,https://www.suboxonetreatmentclinicnyc.com,,Pediatric Intake Coordinator,1.7,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Doctors,Medical,clinic,99-01 Queens Boulevard,,,,,,Pediatric Intake Coordinator,1.7,OpenStreetMap (Overpass),raw_unverified
Dr S. Yoon,Medical,doctors,,,+1 718 544 9525,,,,Pediatric Intake Coordinator,1.7,OpenStreetMap (Overpass),raw_unverified
Forest Hills Hematology Oncology,Medical,doctors,,,+1 718 459 5900,,,,Pediatric Intake Coordinator,1.7,OpenStreetMap (Overpass),raw_unverified
Advanced Woman's Care,Medical,doctors,,,,,,,Pediatric Intake Coordinator,1.7,OpenStreetMap (Overpass),raw_unverified
DRAD Helpline Inc,Medical,clinic,68-38 Yellowstone Boulevard,Queens,+1 917 672 5448,,https://drugrehabalcoholdetox.com/locations/new-york/queens-ny,,Pediatric Intake Coordinator,1.72,OpenStreetMap (Overpass),raw_unverified
PS 201,School,school,,,,,,,School Social Worker,1.72,OpenStreetMap (Overpass),raw_unverified
Advanced Center for psychotherapy,Medical,doctors,,,,,,,Pediatric Intake Coordinator,1.73,OpenStreetMap (Overpass),raw_unverified
The Dermatology Specialists,Medical,doctors,100-26 Queens Boulevard,,,,,,Pediatric Intake Coordinator,1.74,OpenStreetMap (Overpass),raw_unverified
Cohen Medical Practice,Medical,doctors,98-76 Queens Boulevard,Rego Park,+1-347-545-2520,info@nycgyne.com,https://nycgyne.com/gynecologist-rego-park-queens/,,Pediatric Intake Coordinator,1.74,OpenStreetMap (Overpass),raw_unverified
Fairview Nursing Center,Support Organization,social_facility,69-70 Grand Central Parkway Service Road West,,,,,,Program Intake Coordinator,1.74,OpenStreetMap (Overpass),raw_unverified
P.S. 022,School,school,,,,,,,School Social Worker,1.76,OpenStreetMap (Overpass),raw_unverified
Yeshiva of Central Queens,School,school,,,,,,,School Social Worker,1.77,OpenStreetMap (Overpass),raw_unverified
Public School 163,School,school,,,,,,,School Social Worker,1.78,OpenStreetMap (Overpass),raw_unverified
Premier Vascular Vein Treatment,Medical,doctors,37-12 92nd Street,Queens,+1-718-355-9754,info@premiervascularny.com,https://premiervascularny.com/,,Pediatric Intake Coordinator,1.8,OpenStreetMap (Overpass),raw_unverified
Public School 149 - Christa McAuliffe,School,school,93-11 34th Avenue,,,,https://www.schools.nyc.gov/schoolportals/30/q149/,,School Social Worker,1.8,OpenStreetMap (Overpass),raw_unverified
Saint Gabriel's School,School,school,26-25 97th Street,,,,,,School Social Worker,1.83,OpenStreetMap (Overpass),raw_unverified
Public School 165,School,school,,,,,,,School Social Worker,1.84,OpenStreetMap (Overpass),raw_unverified
"Advanced Walk In Foot Care, PLLC",Medical,doctors,93-14 Queens Boulevard,,+1-718-415-2326,wperez_1000@gmail.com,,,Pediatric Intake Coordinator,1.85,OpenStreetMap (Overpass),raw_unverified
Corona Family Health,Medical,clinic,90-24 Corona Avenue,,,,,,Pediatric Intake Coordinator,1.85,OpenStreetMap (Overpass),raw_unverified
Newtown High School,School,school,,,,,,,School Social Worker,1.85,OpenStreetMap (Overpass),raw_unverified
I.S. 227 - Louis Armstrong Middle School,School,school,,,,,https://www.armstrong227q.com/,,School Social Worker,1.85,OpenStreetMap (Overpass),raw_unverified
Roosevelt Cardiovascular Diagnostic,Medical,doctors,37-51A 90th Street,,+1 718 942 9355,,,,Pediatric Intake Coordinator,1.87,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,91-19 Queens Boulevard,Elmhurst,+1-646-647-1253,,https://www.citymd.com/urgent-care-locations/ny/queens/rego-park/314,,Pediatric Intake Coordinator,1.88,OpenStreetMap (Overpass),raw_unverified
Ivy Day School,School,school,70-44 Kissena Boulevard,,+1-718-880-1888,,,,School Social Worker,1.88,OpenStreetMap (Overpass),raw_unverified
Public School 139,School,school,93-06 63rd Drive,,,,,,School Social Worker,1.89,OpenStreetMap (Overpass),raw_unverified
A B Shirwaikar MD,Medical,doctors,35th Avenue,,+1 718 507 7404,,,,Pediatric Intake Coordinator,1.91,OpenStreetMap (Overpass),raw_unverified
Public School 127,School,school,,,,,,,School Social Worker,1.92,OpenStreetMap (Overpass),raw_unverified
The Atria,Support Organization,social_facility,,,,,,,Program Intake Coordinator,1.93,OpenStreetMap (Overpass),raw_unverified
J.H.S. 190Q Russel Sage,School,school,,,,,https://www.russellsagems.org/,,School Social Worker,1.93,OpenStreetMap (Overpass),raw_unverified
Montessouri School,School,school,67-04 Austin Street,,,,,,School Social Worker,1.95,OpenStreetMap (Overpass),raw_unverified
Public School 29,School,school,125-10 23rd Avenue,,,,,,School Social Worker,1.96,OpenStreetMap (Overpass),raw_unverified
New York Preventative Health Center,Medical,clinic,68-60 Austin Street,,+1 718 997 7100,,,,Pediatric Intake Coordinator,1.97,OpenStreetMap (Overpass),raw_unverified
Forest Hills Audiology,Medical,doctors,110-11 72nd Avenue,Forest Hills,+1-718-577-2235,dr.borukhov@aol.com,https://www.foresthillsaudiology.com/,,Pediatric Intake Coordinator,1.98,OpenStreetMap (Overpass),raw_unverified
Digestive Disease Care,Medical,doctors,Queens Boulevard,,,,,,Pediatric Intake Coordinator,1.98,OpenStreetMap (Overpass),raw_unverified
Asthma & Allergy,Medical,doctors,Queens Boulevard,,,,,,Pediatric Intake Coordinator,2.01,OpenStreetMap (Overpass),raw_unverified
Achieve Beyond,Medical,clinic,70-00 Austin Street,,,,,,Pediatric Intake Coordinator,2.01,OpenStreetMap (Overpass),raw_unverified
Summit Health,Medical,clinic,Austin Street,,,,,,Pediatric Intake Coordinator,2.01,OpenStreetMap (Overpass),raw_unverified
NY Best Medical,Medical,doctors,70-10 Austin Street,Forest Hills,,,,,Pediatric Intake Coordinator,2.03,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,70-49 Austin Street,,+1 718 280 1245,,,,Pediatric Intake Coordinator,2.04,OpenStreetMap (Overpass),raw_unverified
Central Queens Charter School,School,school,,,,,,,School Social Worker,2.04,OpenStreetMap (Overpass),raw_unverified
Xiao Rong He MD,Medical,doctors,Justice Avenue,,+1 718-699-5283,,,,Pediatric Intake Coordinator,2.04,OpenStreetMap (Overpass),raw_unverified
Elm York Assisted Living,Support Organization,social_facility,100-30 Ditmars Boulevard,East Elmhurst,,,,,Program Intake Coordinator,2.04,OpenStreetMap (Overpass),raw_unverified
Public School Q222,School,school,86-15 37th Avenue,Jackson Heights,+1-718-429-2563,,https://www.schools.nyc.gov/schools/Q222,,School Social Worker,2.05,OpenStreetMap (Overpass),raw_unverified
Public School 89 Elmhurst,School,school,85-28 Britton Avenue,,,,https://www.ps89q.org/,,School Social Worker,2.05,OpenStreetMap (Overpass),raw_unverified
PS 148 - The Ruby G Allen School,School,school,,,,,https://www.ps148q.com/,,School Social Worker,2.06,OpenStreetMap (Overpass),raw_unverified
Lenox Hill Radiology,Medical,doctors,,,,,,,Pediatric Intake Coordinator,2.08,OpenStreetMap (Overpass),raw_unverified
Tamara Moss MD,Medical,doctors,109-19 72nd Road,,,,,,Pediatric Intake Coordinator,2.08,OpenStreetMap (Overpass),raw_unverified
Azeem Khan,Medical,doctors,109-19 72nd Road,,+1-718-268-0418,,,,Pediatric Intake Coordinator,2.09,OpenStreetMap (Overpass),raw_unverified
Junior High School 185,School,school,147-26 25th Drive,Queens,+1-718-445-3232,,https://www.schools.nyc.gov/schools/Q185,,School Social Worker,2.09,OpenStreetMap (Overpass),raw_unverified
Acuiderm,Medical,doctors,87-20 Queens Boulevard,Elmhurst,+1-718-685-2112,,https://www.acuiderm.com/,,Pediatric Intake Coordinator,2.1,OpenStreetMap (Overpass),raw_unverified
Austin Medical Assistant Training,School,school,109-15 72nd Road,,,,,,School Social Worker,2.11,OpenStreetMap (Overpass),raw_unverified
Medex Diagnostic and Treatment Center,Medical,doctors,111-29 Queens Blvd,Queens,,,,,Pediatric Intake Coordinator,2.12,OpenStreetMap (Overpass),raw_unverified
Saint John Lutheran School,School,school,,,,,,,School Social Worker,2.12,OpenStreetMap (Overpass),raw_unverified
Forest Urgent Care,Medical,clinic,112-01 75th Avenue,Forest Hills,+1 347 318 5488,,,,Pediatric Intake Coordinator,2.13,OpenStreetMap (Overpass),raw_unverified
Focus Vision Center,Medical,doctors,86-26 Queens Boulevard,Elmhurst,+1-718-458-0086;+1-929-284-2445,,https://focuseye.io/,,Pediatric Intake Coordinator,2.13,OpenStreetMap (Overpass),raw_unverified
Manhattan Medical Arts,Medical,clinic,72-14 Austin Street,,+1 646 454 9000,,,,Pediatric Intake Coordinator,2.13,OpenStreetMap (Overpass),raw_unverified
Hear USA,Medical,clinic,72-32 Austin Street,,,,https://www.hearusa.com,,Pediatric Intake Coordinator,2.14,OpenStreetMap (Overpass),raw_unverified
Stephanie Khan,Medical,doctors,110-78 Queens Boulevard,,+1 718 309 2827,,,,Pediatric Intake Coordinator,2.15,OpenStreetMap (Overpass),raw_unverified
Yeshiva Binat Chaim - Boys,School,school,,,,,,,School Social Worker,2.16,OpenStreetMap (Overpass),raw_unverified
New York Presbyterian,Medical,clinic,112-07 Queens Boulevard,,,,,,Pediatric Intake Coordinator,2.16,OpenStreetMap (Overpass),raw_unverified
Dr. W&W Laser Center,Medical,doctors,85-16 Queens Boulevard,,+1-718-457-0806,,www.DRWWMEDSPA.com,,Pediatric Intake Coordinator,2.16,OpenStreetMap (Overpass),raw_unverified
Mesorah Academy,School,school,,,,,,,School Social Worker,2.17,OpenStreetMap (Overpass),raw_unverified
Forest Hills Medical Center,Medical,clinic,112-07 Queens Boulevard,,,,,,Pediatric Intake Coordinator,2.17,OpenStreetMap (Overpass),raw_unverified
Rendr,Medical,doctors,82-55 Broadway,,+1 646 854 3611,,,,Pediatric Intake Coordinator,2.18,OpenStreetMap (Overpass),raw_unverified
New Age Radiology,Medical,doctors,Queens Boulevard,,,,,,Pediatric Intake Coordinator,2.2,OpenStreetMap (Overpass),raw_unverified
Weihong Yan M.D.,Medical,doctors,83-11 Queens Boulevard,Elmhurst,,,,,Pediatric Intake Coordinator,2.21,OpenStreetMap (Overpass),raw_unverified
Public School 200,School,school,,,,,,,School Social Worker,2.25,OpenStreetMap (Overpass),raw_unverified
Huang Cardiovascular,Medical,doctors,81-18 Broadway,,+1-929-605-8763,,,,Pediatric Intake Coordinator,2.28,OpenStreetMap (Overpass),raw_unverified
Saint Joan of Arc School,School,school,,,,,,,School Social Worker,2.28,OpenStreetMap (Overpass),raw_unverified
Saint Adalberts School,School,school,80-55 Cornish Avenue,,,,,,School Social Worker,2.29,OpenStreetMap (Overpass),raw_unverified
The Landing Family Shelter,Support Organization,social_facility,9400 Ditmars Boulevard,East Elmhurst,,,,,Program Intake Coordinator,2.29,OpenStreetMap (Overpass),raw_unverified
P.S.174Q William Sidney Mount,School,school,,,,,,,School Social Worker,2.29,OpenStreetMap (Overpass),raw_unverified
Family Podiatry of Rego Park,Medical,doctors,,,,,,,Pediatric Intake Coordinator,2.3,OpenStreetMap (Overpass),raw_unverified
P.S. 212Q School of Cyberscience and Literacy,School,school,,,,,https://www.ps212q.com/,,School Social Worker,2.3,OpenStreetMap (Overpass),raw_unverified
Renaissance Charter School,School,school,35-59 81st Street,,,,,,School Social Worker,2.32,OpenStreetMap (Overpass),raw_unverified
Stepping Stone Dayschool,School,kindergarten,,,,,,,School Social Worker,2.32,OpenStreetMap (Overpass),raw_unverified
Star Pre School,School,kindergarten,80-07 Broadway,,+1 718 396 9739,,,,School Social Worker,2.33,OpenStreetMap (Overpass),raw_unverified
Queens Adult Care Center,Support Organization,social_facility,,,,,,,Program Intake Coordinator,2.35,OpenStreetMap (Overpass),raw_unverified
PS 101Q The School in The Gardens,School,school,,,,,https://www.ps101q.org/,,School Social Worker,2.37,OpenStreetMap (Overpass),raw_unverified
PS 154,School,school,,,,,,,School Social Worker,2.37,OpenStreetMap (Overpass),raw_unverified
USA Vein Clinic,Medical,clinic,,,,,,,Pediatric Intake Coordinator,2.38,OpenStreetMap (Overpass),raw_unverified
Boulevard Hearing Aid Center,Medical,clinic,116-25 Queens Boulevard,,+1 718 261 0066,,,,Pediatric Intake Coordinator,2.38,OpenStreetMap (Overpass),raw_unverified
Our Saviour Lutheran School,School,school,Woodhaven Boulevard,,,,,,School Social Worker,2.38,OpenStreetMap (Overpass),raw_unverified
Elmhurst Hospital,Medical,hospital,79-01 Broadway,Elmhurst,+1 718 334 4000,,https://www.nychealthandhospitals.org/elmhurst/,,Pediatric Intake Coordinator,2.39,OpenStreetMap (Overpass),raw_unverified
Musculoskeletal wellness clinic,Medical,clinic,116-22 Queens Boulevard,,+1 718 793 4000,,,,Pediatric Intake Coordinator,2.41,OpenStreetMap (Overpass),raw_unverified
PS Q255,School,school,,,,,,,School Social Worker,2.41,OpenStreetMap (Overpass),raw_unverified
College Point Collaborative,School,school,12406 14th Avenue,College Point,+1-929-362-3300,,https://www.schools.nyc.gov/schools/Q379,,School Social Worker,2.43,OpenStreetMap (Overpass),raw_unverified
Intermediate School 145 Joseph Pulitzer,School,school,,,,,https://www.145innovators.com/,,School Social Worker,2.47,OpenStreetMap (Overpass),raw_unverified
Francis Lewis High School,School,school,,,,,,,School Social Worker,2.47,OpenStreetMap (Overpass),raw_unverified
Poppenhusen Institute,School,school,,,,,,,School Social Worker,2.48,OpenStreetMap (Overpass),raw_unverified
